time,value,accuracy
1586705515053,171.67067,3
1586705516030,172.3074,3
1586705517000,172.3567,3
1586705517970,172.74481,2
1586705518950,172.96092,2
1586705519924,173.30331,2
1586705520891,173.30331,2
1586705521874,173.50363,3
1586705522851,173.57556,3
1586705523823,173.54507,3
1586705524798,173.56964,3
1586705525774,173.54884,3
1586705526746,173.54884,3
1586705527721,173.55386,3
1586705528692,173.79669,3
1586705529667,173.93536,3
1586705530644,174.04222,3
1586705531619,174.12767,3
1586705532592,174.12767,3
1586705533567,174.10803,3
1586705534543,174.0798,3
1586705535509,173.37505,3
1586705536485,173.2471,3
1586705537459,173.20802,3
1586705538429,173.20802,3
1586705539407,173.05719,3
1586705540386,172.91893,3
1586705541361,172.34764,3
1586705542337,172.11122,3
1586705543312,171.92221,3
1586705544285,171.92221,3
1586705545262,171.32103,3
1586705546229,171.0361,3
1586705547201,170.82126,3
1586705548185,170.1723,3
1586705549154,169.8712,3
1586705550139,169.8712,3
1586705551108,169.65733,3
1586705552083,169.47763,3
1586705553057,169.31358,3
1586705554032,169.18243,3
1586705554998,169.06422,3
1586705555968,169.06422,3
1586705556953,169.1042,3
1586705557924,169.15573,3
1586705558900,169.3821,3
1586705559873,169.51622,3
1586705560844,169.59215,3
1586705561817,169.59215,3
1586705562790,169.61777,3
1586705563774,169.63469,3
1586705564744,169.64087,3
1586705565712,169.65182,3
1586705566691,169.66185,3
1586705567667,169.66185,3
1586705568643,169.67441,3
1586705569617,170.13416,3
1586705570584,170.29811,3
1586705571566,170.3933,3
1586705572543,170.39116,3
1586705573507,170.39116,3
1586705574491,170.37897,3
1586705575460,169.6705,3
1586705576432,169.56767,3
1586705577412,169.44043,3
1586705578379,169.27676,3
1586705579352,169.27676,3
1586705580334,168.6781,3
1586705581306,168.40274,3
1586705582280,167.7522,3
1586705583249,167.44603,3
1586705584224,166.7492,3
1586705585189,166.7492,3
1586705586173,166.5994,3
1586705587145,166.6484,3
1586705588115,166.71211,3
1586705589085,167.05577,3
1586705590060,167.17493,3
1586705591035,167.17493,3
1586705592014,167.24281,3
1586705592988,167.61122,3
1586705593962,167.773,3
1586705594929,167.89598,3
1586705595909,167.97958,3
1586705596879,167.97958,3
1586705597858,168.0569,3
1586705598834,168.63689,3
1586705599805,168.70866,3
1586705600782,168.72144,3
1586705601752,168.70486,3
1586705602725,168.70486,3
1586705603701,168.77744,3
1586705604675,168.91635,3
1586705605644,169.05118,3
1586705606622,169.15208,2
1586705607586,169.2508,2
1586705608568,169.2508,2
1586705609538,169.24046,1
1586705610518,169.23375,1
1586705611483,169.21603,1
1586705612464,168.99164,2
1586705613440,168.86577,2
1586705614411,168.86577,2
1586705615386,169.50418,3
1586705616360,169.47919,3
1586705617336,168.80884,3
1586705618305,168.83891,3
1586705619282,170.27509,3
1586705620249,170.27509,3
1586705621232,170.67842,3
1586705622205,170.93123,2
1586705623177,171.14018,2
1586705624153,171.74205,3
1586705625126,172.04152,3
1586705626092,172.04152,3
1586705627073,172.2741,3
1586705628049,172.46228,3
1586705629026,172.8871,3
1586705629996,172.99841,3
1586705630970,173.00494,3
1586705631944,173.00494,3
1586705632911,173.00201,3
1586705633893,173.05296,3
1586705634863,173.65999,3
1586705635834,173.70898,3
1586705636808,173.69626,3
1586705637788,173.69626,3
1586705638764,173.65503,3
1586705639731,173.61047,3
1586705640709,173.57141,3
1586705641682,173.46198,2
1586705642651,173.40775,2
1586705643628,173.40775,2
1586705644597,173.38329,2
1586705645567,173.3652,2
1586705646552,173.55005,2
1586705647522,173.80652,2
1586705648498,173.84047,3
1586705649461,173.84047,3
1586705650447,174.34181,3
1586705651420,174.61093,3
1586705652386,174.81812,3
1586705653363,174.98425,3
1586705654332,175.13004,3
1586705655309,175.13004,3
1586705656288,175.25377,3
1586705657261,175.36852,3
1586705658231,175.46721,3
1586705659209,175.55785,3
1586705660186,175.53403,3
1586705661157,175.53403,3
1586705662123,176.06569,3
1586705663108,176.0872,2
1586705664082,175.98637,3
1586705665054,175.94357,3
1586705666031,175.92741,3
1586705667002,175.92741,3
